id,target
test_id0,0.0
test_id1,16.320249557495117
test_id2,14.559737205505371
test_id3,0.0
test_id4,0.0
test_id5,14.88638973236084
test_id6,7.5073065757751465
test_id7,12.13200855255127
test_id8,0.0
test_id9,0.0
test_id10,0.0
test_id11,2.0832417011260986
test_id12,12.927176475524902
test_id13,0.0
test_id14,20.912303924560547
test_id15,0.0
test_id16,2.0914626121520996
test_id17,0.0
test_id18,14.420812606811523
test_id19,10.54524040222168
test_id20,8.764337539672852
test_id21,18.106311798095703
test_id22,0.0
test_id23,13.88814926147461
test_id24,8.656731605529785
test_id25,8.045792579650879
test_id26,2.2580440044403076
test_id27,0.0
test_id28,0.0
test_id29,20.79700469970703
test_id30,14.93394660949707
test_id31,0.0
test_id32,12.234434127807617
test_id33,0.0
test_id34,13.39512825012207
test_id35,0.0
test_id36,0.0
test_id37,0.0
test_id38,0.0
test_id39,2.631035327911377
test_id40,0.0
test_id41,0.0
test_id42,12.511898040771484
test_id43,15.234518051147461
test_id44,12.356246948242188
test_id45,15.574124336242676
test_id46,2.1798315048217773
test_id47,9.066429138183594
test_id48,19.78761863708496
test_id49,0.0
test_id50,0.0
test_id51,7.680199146270752
test_id52,13.10754680633545
test_id53,0.0
test_id54,0.0
test_id55,12.91103744506836
test_id56,0.0
test_id57,6.574411392211914
test_id58,16.952259063720703
test_id59,0.0
test_id60,0.0
test_id61,0.0
test_id62,6.711718559265137
test_id63,13.271230697631836
test_id64,0.0
test_id65,9.394441604614258
test_id66,0.0
test_id67,0.0
test_id68,12.566214561462402
test_id69,0.0
test_id70,22.2794132232666
test_id71,0.0
test_id72,15.753924369812012
test_id73,3.6040735244750977
test_id74,15.078920364379883
test_id75,0.0
test_id76,16.548561096191406
test_id77,12.17912483215332
test_id78,0.0
test_id79,0.0
test_id80,0.0
test_id81,0.0
test_id82,0.0
test_id83,0.0
test_id84,15.420909881591797
test_id85,13.731481552124023
test_id86,0.0
test_id87,0.0
test_id88,0.0
test_id89,0.0
test_id90,18.063838958740234
test_id91,16.977794647216797
test_id92,0.0
test_id93,10.168180465698242
test_id94,0.0
test_id95,17.990602493286133
test_id96,4.859591484069824
test_id97,0.0
test_id98,0.0
test_id99,17.079814910888672
test_id100,12.758130073547363
test_id101,13.129701614379883
test_id102,2.745882987976074
test_id103,0.0
test_id104,17.143054962158203
test_id105,15.736973762512207
test_id106,0.0
test_id107,5.490210056304932
test_id108,0.0
test_id109,0.0
test_id110,17.711021423339844
test_id111,0.0
test_id112,2.280233383178711
test_id113,2.085099697113037
test_id114,0.0
test_id115,10.360206604003906
test_id116,3.8755786418914795
test_id117,0.0
